N°Obs;1. Et si AudioConf vous permettait de donner un nom à l’objet de la _réunion, pour que vous et vos invités vous y retrouviez plus facilement ?;2. Actuellement, AudioConf ne me permet pas de donner un nom à une conférence. Je peux seulement l'identifier par sa date et son heure.;3. Et si AudioConf vous permettait de conserver le même numéro pour un rendez-vous hebdomadaire ?;4. Actuellement, AudioConf permet de réserver un numéro de conférence à la fois. Il n'est pas possible de réserver de numéros à l'avance.;5. Et si AudioConf se chargeait de prévenir vos invités en leur envoyant un mail avec toutes les informations nécessaires ?;6. Actuellement, en tant qu'organisateur, vous devez transmettre vous même les informations aux participants.;7. Et si AudioConf vous permettait d’ajouter facilement le rendez-vous et ses informations à votre agenda ?;8. Actuellement, après avoir réservé une conférence, vous devez vous-même créer l'événement dans votre agenda.;9. Et si AudioConf vous permettait de rendre muets certains invités, pour éviter les bruits de fonds et les parasites ?;10. Actuellement, tous les participants connectés peuvent participer à la conversation.;11. Et si AudioConf vous donnait de la visibilité sur les personnes présentes pendant la conférence ?;12. Actuellement, l'arrivée d'une personne est signalée par un son sonore.;13. Et si AudioConf vous permettait de voir pendant la conférence le nombre de participants, leurs numéros… ?;14. Actuellement, pendant votre conférence, tout se passe au téléphone.;15. Et si AudioConf vous envoyait un résumé de la conférence par email (durée, nombre et numéros de téléphone des participants…) ?;16. Actuellement, après une conférence, vous n'entendez plus parler d'AudioConf !;17. Racontez-nous une réunion qui s'est bien passée;18. Racontez-nous une réunion qui s'est mal passée avec AudioConf;19. Clé;20. Date de saisie;21. Date de dernière modification;22. Date de dernier enregistrement;23. Temps de saisie;24. Langue;25. Progression;26. Origine;27. Appareil utilisé pour la saisie
1;;;;;;;;;;;;;;;;;coucou c'est Estelle qui teste le sondage;;N3QG-QXN9;26/01/2021 10:47:52;;26/01/2021 10:48:39;47,3399441;FR;Terminé;Direct;PC
2;Je trouverais ça bien :);Je ne suis pas concerné·e.;Ça ne changerait pas mon usage d'AudioConf;;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je trouverais ça bien :);Je trouve ça bien :);Ça ne m'enchenterait pas, mais je ferais avec.;Je suis ravi·e !;;;2MEA-Z7HQ;26/01/2021 10:52:24;;26/01/2021 10:54:27;122,7768705;FR;Terminé;Direct;PC
3;Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je ne suis pas concerné·e.;Je serais ravi·e !;Je trouve ça bien :);Je serais ravi·e !;Je trouve ça bien :);Je serais ravi·e !;Je trouve ça bien :);Je serais ravi·e !;Je ne suis pas concerné·e.;;;38AC-BGY4;26/01/2021 11:17:05;;26/01/2021 11:35:14;1089,4716862;FR;Terminé;Direct;PC
4;Je serais ravi·e !;Je suis mécontent·e.;Je serais ravi·e !;Je suis mécontent·e.;Je serais ravi·e !;Je suis mécontent·e.;Je serais ravi·e !;Je suis mécontent·e.;Je serais ravi·e !;Je suis mécontent·e.;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Ça ne changerait pas mon usage d'AudioConf;Je ne suis pas concerné·e.;;;YKWN-499E;26/01/2021 14:42:38;;26/01/2021 14:44:25;106,4455629;FR;Terminé;Direct;PC
5;Je trouverais ça bien :);Je suis ravi·e !;Ça ne changerait pas mon usage d'AudioConf;Je suis mécontent·e.;Ça ne changerait pas mon usage d'AudioConf;Je suis mécontent·e.;Je serais ravi·e !;Je suis mécontent·e.;Je serais ravi·e !;Je suis ravi·e !;Je trouverais ça bien :);Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je suis ravi·e !;Je serais mécontent·e.;Je suis ravi·e !;la plupart du temps;la voix est parfois robotisée;YGEH-WC37;26/01/2021 14:49:14;;26/01/2021 14:51:17;123,4363051;FR;Terminé;Direct;PC
6;Ça ne changerait pas mon usage d'AudioConf;Ça ne m'enchante pas, mais je fais avec.;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Je trouverais ça bien :);Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je ne suis pas concerné·e.;Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Je trouverais ça bien :);Je trouve ça bien :);Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);;;Y4X8-J32E;26/01/2021 16:25:52;;26/01/2021 16:28:10;137,4265454;FR;Terminé;Direct;PC
7;Je trouverais ça bien :);Je ne suis pas concerné·e.;Ça ne changerait pas mon usage d'AudioConf;Ça ne m'enchante pas, mais je fais avec.;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je trouverais ça bien :);Je trouve ça bien :);Je trouverais ça bien :);Je ne suis pas concerné·e.;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);;;D6WW-YDEQ;26/01/2021 18:00:16;;26/01/2021 18:02:21;124,8735405;FR;Terminé;Direct;PC
8;Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Je trouverais ça bien :);Je ne suis pas concerné·e.;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Je trouverais ça bien :);Je trouve ça bien :);Je serais ravi·e !;Je trouve ça bien :);Je serais ravi·e !;Je ne suis pas concerné·e.;Je trouverais ça bien :);Je ne suis pas concerné·e.;;;T94D-T8TL;26/01/2021 19:20:48;;26/01/2021 19:25:44;295,8619897;FR;Terminé;Direct;PC
9;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Je trouverais ça bien :);Je trouve ça bien :);Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Réunion à trois;RAS;N782-CMLB;26/01/2021 19:25:13;;26/01/2021 19:28:42;209,1154279;FR;Terminé;Direct;PC
10;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je ne suis pas concerné·e.;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je serais mécontent·e.;Je trouve ça bien :);Je serais mécontent·e.;Je trouve ça bien :);Ne compliquez pas un service qui donne satisfaction.;En tant que participant, je refuse que mon numéro d’appel soit communiqué à l’organisateur ou qui que se soit, en particulier lorsqu’en confinement j’utilise mon numéro personnel. ;A8EQ-2G5U;26/01/2021 20:44:13;;26/01/2021 20:49:38;324,8743442;FR;Terminé;Direct;PC
11;Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Je serais ravi·e !;Je ne suis pas concerné·e.;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Je trouverais ça bien :);Je ne suis pas concerné·e.;Je trouverais ça bien :);Je ne suis pas concerné·e.;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Ça ne changerait pas mon usage d'AudioConf;Je ne suis pas concerné·e.;Réservation avec 0 préavis, accès sans difficulté, bonne qualité sonore, pas de limitation de durée;"pas de ""mal passée""";FNAJ-GQ4Q;27/01/2021 08:51:54;;27/01/2021 08:56:22;268,6504924;FR;Terminé;Direct;PC
12;Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Je serais ravi·e !;Je ne suis pas concerné·e.;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Je trouverais ça bien :);Je trouve ça bien :);Je trouverais ça bien :);Je trouve ça bien :);Je trouverais ça bien :);Je trouve ça bien :);Je trouverais ça bien :);Je ne suis pas concerné·e.;;;VYBT-UZ8U;27/01/2021 10:22:44;;27/01/2021 10:25:45;181,2438865;FR;Terminé;Direct;PC
13;Ça ne changerait pas mon usage d'AudioConf;Je ne suis pas concerné·e.;Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je trouverais ça bien :);Je ne suis pas concerné·e.;Je serais ravi·e !;Je trouve ça bien :);Je trouverais ça bien :);Je trouve ça bien :);Je trouverais ça bien :);Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je suis ravi·e !;;;F9XJ-9VX4;27/01/2021 12:06:40;;27/01/2021 12:09:43;182,633999;FR;Terminé;Direct;PC
14;Je trouverais ça bien :);Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je ne suis pas concerné·e.;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je trouverais ça bien :);;Je serais ravi·e !;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;"Ayant transmis l'invitation et le numéro/code à faire en amont, pour une réunion interservices au sein de la DGA (MINARM) ou avec des partenaires étatiques étrangers, tous les participants se connectent avec leur téléphone depuis le travail ou la maison. Chaque bip sonore permet de comptabilisé le nb  de participants sans savoir qui est présent (c'est le point à améliorer, autoriser que les personnes invitées préalablement, pas les autres).
Après avoir rappeler les règles de bonne conduite en audioconférence, chacun participe en se présentant à chaque fois et intervient. Les échanges ont lieu jusqu'à l'épuisement de l'ordre du jour dans le créneau temporel retenu initialement (+ou- 10 minutes). Les intervenants se saluent et chacun quitte la conférence. ";Je n'ai pas d'exemple.;HULP-9NVC;27/01/2021 13:23:32;;27/01/2021 13:33:57;625,0272453;FR;Terminé;Direct;PC
15;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Je serais ravi·e !;Je trouve ça bien :);Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;;Je trouve ça bien :);Je serais ravi·e !;Je trouve ça bien :);Je serais ravi·e !;Je trouve ça bien :);Je trouverais ça bien :);Je trouve ça bien :);Très bien pour les réunions structurées avec un ordre du jour clair. Plus difficile lorsqu'il faut faire du remue-méninge !;;TEEA-76YT;27/01/2021 13:34:37;;27/01/2021 13:38:43;245,3948377;FR;Terminé;Direct;PC
16;Je trouverais ça bien :);Je ne suis pas concerné·e.;Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Je serais mécontent·e.;Je trouve ça bien :);Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Ça ne m'enchenterait pas, mais je ferais avec.;Je trouve ça bien :);Je trouverais ça bien :);Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Ça ne m'enchenterait pas, mais je ferais avec.;Je trouve ça bien :);;;ZMV4-RJUQ;27/01/2021 14:31:56;;27/01/2021 14:33:58;122,0600994;FR;Terminé;Direct;PC
17;Je trouverais ça bien :);Je trouve ça bien :);Je trouverais ça bien :);Je ne suis pas concerné·e.;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Je trouverais ça bien :);Je trouve ça bien :);Je trouverais ça bien :);Je trouve ça bien :);Je trouverais ça bien :);Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je suis ravi·e !;Audioconf a bien fonctionné pour les réunions où la visio n'était pas nécessaire. Gardez un outil simple à utiliser !;;E2YJ-VGP4;27/01/2021 14:34:35;;27/01/2021 14:38:09;214,4917964;FR;Terminé;Direct;PC
18;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Ça ne m'enchenterait pas, mais je ferais avec.;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je serais ravi·e !;Je trouve ça bien :);Je serais mécontent·e.;Je suis ravi·e !;Je serais mécontent·e.;Je suis ravi·e !;"Des entretiens d'embauche, le jury a pu se concerter avant et après chaque entretien. Le signal sonore permet de conserver la confidentialité. C'est parfait.
";"Jamais arrivé !

Je vais coupler ma prochaine réunion en visio avec  AudioConf pour être sûr de palier aux décrochages son/image et assurer la réussite de ce RV important.";552F-3KD5;27/01/2021 14:59:44;;27/01/2021 15:07:53;489,602154;FR;Terminé;Direct;PC
19;Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Je serais ravi·e !;Je suis mécontent·e.;Je serais ravi·e !;Je suis mécontent·e.;Je trouverais ça bien :);Je trouve ça bien :);Je trouverais ça bien :);Je trouve ça bien :);Je trouverais ça bien :);Je trouve ça bien :);Je trouverais ça bien :);Je ne suis pas concerné·e.;;;C7WD-2XGS;27/01/2021 16:09:19;;27/01/2021 16:11:24;124,9955041;FR;Terminé;Direct;PC
20;Ça ne m'enchenterait pas, mais je ferais avec.;Je trouve ça bien :);Je serais ravi·e !;Je trouve ça bien :);Je trouverais ça bien :);Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Ça ne m'enchante pas, mais je fais avec.;Je trouverais ça bien :);Je trouve ça bien :);Je trouverais ça bien :);Je ne suis pas concerné·e.;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);"Quasiment toutes les réunions se passent bien.
J'apprécie d'avoir un numéro à la journée qui me permet de faire plusieurs points dans la même journée avec le même numéro.";Une fois, la connexion était très compliquée Le temps que tout le monde arrive se connecter, 20 minutes étaient passées...;ZC4L-HPE7;27/01/2021 16:30:55;;27/01/2021 16:37:46;411,3233855;FR;Terminé;Direct;PC
21;Je trouverais ça bien :);Je trouve ça bien :);Je serais ravi·e !;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je serais ravi·e !;Je trouve ça bien :);Je serais ravi·e !;Je trouve ça bien :);Je serais ravi·e !;Je trouve ça bien :);Je serais ravi·e !;Je trouve ça bien :);Je serais ravi·e !;Je trouve ça bien :);"Bonne qualité sonore.
";"Le problème provient des téléphones de l'administration (DGFIP centrale) qui provoquent des échos dans les conversations désagréables.
Autre chose, il y a des coupures, on est déconnecté de manière systématique au bout de 3 heures (c'est normal) mais avant dans certains cas.";LWTQ-MYSG;28/01/2021 10:17:44;;28/01/2021 10:23:35;351,0940065;FR;Terminé;Direct;PC
22;Je serais ravi·e !;Je trouve ça bien :);Je serais ravi·e !;Je suis ravi·e !;Je trouverais ça bien :);Je trouve ça bien :);Je serais ravi·e !;Je suis ravi·e !;Je serais ravi·e !;Je suis ravi·e !;Je trouverais ça bien :);Je trouve ça bien :);Je trouverais ça bien :);Je trouve ça bien :);Je trouverais ça bien :);Je trouve ça bien :);;;W7KU-4DUU;28/01/2021 10:16:13;;28/01/2021 10:24:22;489,7329957;FR;Terminé;Direct;PC
23;Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Je trouverais ça bien :);Je ne suis pas concerné·e.;Je trouverais ça bien :);Je ne suis pas concerné·e.;Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Je serais ravi·e !;Je trouve ça bien :);Je serais ravi·e !;Je trouve ça bien :);Je trouverais ça bien :);Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je ne suis pas concerné·e.;Nous faisons notre réunion de bureau tous les lundis après-midi avec audioConf, aucun problème jusqu'à présent. Nous sommes une dizaine à chaque fois. Mais il serait bien d'avoir l'information des participants connectés pour éviter de faire l'appel.;;QPCU-JSPP;28/01/2021 11:33:01;;28/01/2021 11:36:44;222,65801;FR;Terminé;Direct;PC
24;Ça ne changerait pas mon usage d'AudioConf;Je ne suis pas concerné·e.;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Ça ne changerait pas mon usage d'AudioConf;Je suis ravi·e !;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je serais ravi·e !;Je suis ravi·e !;Je serais ravi·e !;Je suis ravi·e !;Je serais ravi·e !;Je ne suis pas concerné·e.;Ça ne changerait pas mon usage d'AudioConf;Je suis ravi·e !;;;KXFP-5SRL;28/01/2021 11:37:41;;28/01/2021 11:40:43;182,124593;FR;Terminé;Direct;PC
25;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je trouverais ça bien :);Je suis ravi·e !;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je ne suis pas concerné·e.;Je trouverais ça bien :);Je trouve ça bien :);Je serais ravi·e !;Je ne suis pas concerné·e.;;;HRCK-F2BN;28/01/2021 11:41:25;;28/01/2021 11:44:39;194,1953116;FR;Terminé;Direct;PC
26;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Je trouverais ça bien :);Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Je trouverais ça bien :);Ça ne m'enchante pas, mais je fais avec.;Je serais ravi·e !;Je trouve ça bien :);Je serais ravi·e !;Je trouve ça bien :);Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);Utilisation en réunion d'équipe : Son parfait, très pratique. ;Néant;Y2UH-YJBL;28/01/2021 11:56:22;;28/01/2021 12:01:01;279,2594997;FR;Terminé;Direct;PC
27;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Je serais ravi·e !;Ça ne m'enchante pas, mais je fais avec.;Ça ne changerait pas mon usage d'AudioConf;Je trouve ça bien :);;;HWHX-TUC3;28/01/2021 11:52:22;;28/01/2021 12:01:50;568,1923869;FR;Terminé;Direct;PC
